date,temperature
24-02-08-21-37-25,18
24-02-08-21-57-15,19
24-02-08-22-05-29,18
24-02-08-22-05-34,18
24-02-08-22-05-40,18
24-02-08-22-05-46,18
24-02-08-22-05-51,18
24-02-08-22-05-57,18
24-02-08-22-06-02,18
24-02-08-22-06-08,18
24-02-08-22-06-13,18
24-02-08-22-06-19,18
24-02-08-22-06-24,19
24-02-08-22-06-30,18
24-02-08-22-06-35,18
24-02-08-22-06-41,20
24-02-08-22-06-47,19
24-02-08-22-06-52,19
24-02-08-22-06-58,18
24-02-08-22-07-03,18
24-02-08-22-07-09,18
24-02-08-22-07-15,19
24-02-08-22-07-20,18
24-02-08-22-07-26,18
24-02-08-22-07-31,19
24-02-08-22-07-37,19
24-02-08-22-07-42,18
24-02-08-22-07-48,19
24-02-08-22-07-53,19
24-02-08-22-07-59,19
24-02-08-22-08-04,18
24-02-08-22-08-10,18
24-02-08-22-08-16,20
24-02-08-22-08-21,18
24-02-08-22-08-27,18
24-02-08-22-08-32,19
24-02-08-22-08-38,19
24-02-08-22-08-43,19
24-02-08-22-08-49,20
24-02-08-22-08-54,18
24-02-08-22-09-00,18
24-02-08-22-09-05,18
24-02-08-22-09-11,20
24-02-08-22-09-16,18
24-02-08-22-09-22,18
24-02-08-22-09-28,18
24-02-08-22-09-33,18
24-02-08-22-09-39,18
24-02-08-22-09-44,18
24-02-08-22-09-50,20
24-02-08-22-09-55,18
24-02-08-22-10-01,18
24-02-08-22-10-06,19
24-02-08-22-10-12,20
24-02-08-22-10-17,19
24-02-08-22-10-23,19
24-02-08-22-10-29,20
24-02-08-22-10-34,19
24-02-08-22-10-40,18
24-02-08-22-10-45,20
24-02-08-22-10-51,18
24-02-08-22-10-56,19
24-02-08-22-11-02,19
24-02-08-22-11-07,18
24-02-08-22-11-13,18
24-02-08-22-11-18,19
24-02-08-22-11-24,20
24-02-08-22-11-29,18
24-02-08-22-11-35,19
24-02-08-22-11-40,18
24-02-08-22-11-46,18
24-02-08-22-11-52,19
24-02-08-22-11-57,18
24-02-08-22-12-03,18
24-02-08-22-12-08,18
24-02-08-22-12-14,20
24-02-08-22-12-20,20
24-02-08-22-12-25,20
24-02-08-22-12-30,18
24-02-08-22-12-36,18
24-02-08-22-12-41,18
24-02-08-22-12-47,19
24-02-08-22-12-52,18
24-02-08-22-12-58,18
24-02-08-22-13-03,18
24-02-08-22-13-09,18
24-02-08-22-13-14,18
24-02-08-22-13-20,18
24-02-08-22-13-25,19
24-02-08-22-13-31,20
24-02-08-22-13-36,19
24-02-08-22-13-42,18
24-02-08-22-13-47,18
24-02-08-22-13-53,18
24-02-08-22-13-58,19
24-02-08-22-14-04,18
24-02-08-22-14-09,18
24-02-08-22-14-15,18
24-02-08-22-14-21,18
24-02-08-22-14-26,18
24-02-08-22-14-32,18
24-02-08-22-14-37,18
24-02-08-22-14-43,18
24-02-08-22-14-48,19
24-02-08-22-14-54,20
24-02-08-22-14-59,19
24-02-08-22-15-05,18
24-02-08-22-15-10,19
24-02-08-22-15-16,19
24-02-08-22-15-22,19
24-02-08-22-15-27,18
24-02-08-22-15-33,19
24-02-08-22-15-38,18
24-02-08-22-15-44,18
24-02-08-22-15-49,18
24-02-08-22-15-55,18
24-02-08-22-16-00,19
24-02-08-22-16-06,18
24-02-08-22-16-11,19
24-02-08-22-16-17,20
24-02-08-22-16-23,20
24-02-08-22-16-28,18
24-02-08-22-16-34,18
24-02-08-22-16-39,19
24-02-08-22-16-45,18
24-02-08-22-16-50,18
24-02-08-22-16-56,20
24-02-08-22-17-01,18
24-02-08-22-17-07,20
24-02-08-22-17-12,18
24-02-08-22-17-18,18
24-02-08-22-17-23,19
24-02-08-22-17-29,20
24-02-08-22-17-34,18
24-02-08-22-17-40,19
24-02-08-22-17-45,18
24-02-08-22-17-51,18
24-02-08-22-17-56,18
24-02-08-22-18-02,20
24-02-08-22-18-07,18
24-02-08-22-18-13,19
24-02-08-22-18-18,19
24-02-08-22-18-24,18
24-02-08-22-18-29,18
24-02-08-22-18-35,20
24-02-08-22-18-41,18
24-02-08-22-18-46,19
24-02-08-22-18-52,19
24-02-08-22-18-57,18
24-02-08-22-19-03,18
24-02-08-22-19-08,20
24-02-08-22-19-14,18
24-02-08-22-19-19,19
24-02-08-22-19-25,18
24-02-08-22-19-31,18
24-02-08-22-19-36,18
24-02-08-22-19-42,19
24-02-08-22-19-47,18
24-02-08-22-19-53,18
24-02-08-22-19-58,18
24-02-08-22-20-04,19
24-02-08-22-20-09,18
24-02-08-22-20-15,19
24-02-08-22-20-21,19
24-02-08-22-20-26,19
24-02-08-22-20-31,19
24-02-08-22-20-37,18
24-02-08-22-20-43,18
24-02-08-22-20-48,19
24-02-08-22-20-54,18
24-02-08-22-20-59,20
24-02-08-22-21-05,18
24-02-08-22-21-10,19
24-02-08-22-21-16,18
24-02-08-22-21-21,18
24-02-08-22-21-27,19
24-02-08-22-21-33,19
24-02-08-22-21-38,18
24-02-08-22-21-44,18
24-02-08-22-21-49,18
24-02-08-22-21-55,20
24-02-08-22-22-00,18
24-02-08-22-22-05,18
24-02-08-22-22-11,18
24-02-08-22-22-16,20
24-02-08-22-22-22,19
24-02-08-22-22-28,18
24-02-08-22-22-33,20
24-02-08-22-22-38,18
24-02-08-22-22-44,18
24-02-08-22-22-49,18
24-02-08-22-22-55,18
24-02-08-22-23-00,18
24-02-08-22-23-06,18
24-02-08-22-23-12,19
24-02-08-22-23-17,19
24-02-08-22-23-23,19
24-02-08-22-23-28,18
24-02-08-22-23-34,19
24-02-08-22-23-39,19
24-02-08-22-23-45,18
24-02-08-22-23-50,18
24-02-08-22-23-56,19
24-02-08-22-24-01,18
24-02-08-22-24-07,18
24-02-08-22-24-12,18
24-02-08-22-24-18,18
24-02-08-22-24-23,18
24-02-08-22-24-29,18
24-02-08-22-24-34,19
24-02-08-22-24-40,19
24-02-08-22-24-45,20
24-02-08-22-24-51,18
24-02-08-22-24-56,18
24-02-08-22-25-02,20
24-02-08-22-25-07,18
24-02-08-22-25-13,20
24-02-08-22-25-18,20
24-02-08-22-25-24,18
24-02-08-22-25-29,19
24-02-08-22-25-35,19
24-02-08-22-25-40,19
24-02-08-22-25-46,19
24-02-08-22-25-51,18
24-02-08-22-25-57,18
24-02-08-22-26-03,18
24-02-08-22-26-08,19
